"from slider","du curseur"
"to slider","à curseur"
"Products","Produits"
"All Categories","toutes les catégories"
"Search result for: '%1'","Résultat de recherche pour: '%1'"
"Corrected search results for: '%1'","Résultat de recherche pour: "
"Search result for: ","Résultat de recherche corrigés pour: "
"more values","plus de valeurs"
"less values","moins de valeurs"
"Blog-Articles","Blog-Articles"
"You may be interested in the following products","Autres produits qui pourraient vous plaire"
"All products","Tous les produits"
